worth------------------------------------------------------------ {'neg': 0.0, 'compound': 0.2263, 'neu': 0.0, 'pos': 1.0}
king------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
bed-------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
reception-------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
polite----------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
enough----------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
please----------------------------------------------------------- {'neg': 0.0, 'compound': 0.3182, 'neu': 0.0, 'pos': 1.0}
join------------------------------------------------------------- {'neg': 0.0, 'compound': 0.296, 'neu': 0.0, 'pos': 1.0}
property--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
simply----------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
take------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
probably--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
never------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
discount--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
give------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
simply----------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
